	arabidopsis_thaliana	ceratopteris_richardii	chlamydomonas_reinhardtii	klebsormidium_nitens	marchantia_polymorpha	mesotaenium_endlicherianum	oryza_sativa	ostreococcus_tauri	porphyra_umbilicalis	selaginella_moellendorffii	solanum_lycopersicum
arabidopsis_thaliana	18	11	7	7	10	9	15	4	2	10	16
ceratopteris_richardii	11	12	7	7	10	9	11	4	2	10	11
chlamydomonas_reinhardtii	7	7	8	5	7	7	7	5	2	7	7
klebsormidium_nitens	7	7	5	8	7	7	7	4	2	7	7
marchantia_polymorpha	10	10	7	7	11	9	10	4	3	11	10
mesotaenium_endlicherianum	9	9	7	7	9	9	9	4	2	9	9
oryza_sativa	15	11	7	7	10	9	20	4	2	10	15
ostreococcus_tauri	4	4	5	4	4	4	4	6	2	4	4
porphyra_umbilicalis	2	2	2	2	3	2	2	2	3	3	2
selaginella_moellendorffii	10	10	7	7	11	9	10	4	3	13	11
solanum_lycopersicum	16	11	7	7	10	9	15	4	2	11	23
