	arabidopsis_thaliana	ceratopteris_richardii	chlamydomonas_reinhardtii	klebsormidium_nitens	marchantia_polymorpha	mesotaenium_endlicherianum	oryza_sativa	ostreococcus_tauri	porphyra_umbilicalis	selaginella_moellendorffii	solanum_lycopersicum
arabidopsis_thaliana	0.0	63.0	34.0	42.0	45.0	34.0	67.0	31.0	16.0	54.0	66.0
ceratopteris_richardii	46.0	0.0	28.0	30.0	28.0	25.0	46.0	25.0	18.0	42.0	41.0
chlamydomonas_reinhardtii	11.0	10.0	0.0	8.0	9.0	10.0	11.0	7.0	4.0	10.0	10.0
klebsormidium_nitens	15.0	14.0	9.0	0.0	13.0	9.0	15.0	6.0	3.0	14.0	14.0
marchantia_polymorpha	17.0	16.0	13.0	11.0	0.0	15.0	17.0	8.0	5.0	19.0	15.0
mesotaenium_endlicherianum	14.0	13.0	10.0	12.0	15.0	0.0	14.0	8.0	6.0	17.0	13.0
oryza_sativa	69.0	62.0	31.0	41.0	44.0	31.0	0.0	28.0	15.0	56.0	62.0
ostreococcus_tauri	6.0	6.0	6.0	5.0	6.0	6.0	8.0	0.0	5.0	6.0	5.0
porphyra_umbilicalis	2.0	5.0	2.0	2.0	6.0	2.0	5.0	2.0	0.0	9.0	2.0
selaginella_moellendorffii	25.0	23.0	18.0	20.0	21.0	17.0	25.0	14.0	10.0	0.0	24.0
solanum_lycopersicum	73.0	63.0	33.0	35.0	51.0	30.0	74.0	24.0	7.0	68.0	0.0
