	arabidopsis_thaliana	ceratopteris_richardii	chlamydomonas_reinhardtii	klebsormidium_nitens	marchantia_polymorpha	mesotaenium_endlicherianum	oryza_sativa	ostreococcus_tauri	porphyra_umbilicalis	selaginella_moellendorffii	solanum_lycopersicum
arabidopsis_thaliana	0.0	45.0	4.0	6.0	10.0	5.0	37.0	0.0	0.0	24.0	35.0
ceratopteris_richardii	33.0	0.0	3.0	8.0	2.0	3.0	33.0	0.0	3.0	8.0	26.0
chlamydomonas_reinhardtii	2.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0
klebsormidium_nitens	6.0	6.0	0.0	0.0	4.0	0.0	6.0	0.0	0.0	6.0	6.0
marchantia_polymorpha	6.0	4.0	2.0	2.0	0.0	0.0	8.0	0.0	0.0	0.0	6.0
mesotaenium_endlicherianum	5.0	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	5.0
oryza_sativa	34.0	44.0	4.0	7.0	15.0	3.0	0.0	0.0	3.0	29.0	40.0
ostreococcus_tauri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
porphyra_umbilicalis	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
selaginella_moellendorffii	12.0	8.0	4.0	5.0	0.0	0.0	14.0	0.0	0.0	0.0	14.0
solanum_lycopersicum	36.0	46.0	6.0	6.0	11.0	5.0	42.0	0.0	0.0	25.0	0.0
