	arabidopsis_thaliana	ceratopteris_richardii	chlamydomonas_reinhardtii	klebsormidium_nitens	marchantia_polymorpha	mesotaenium_endlicherianum	oryza_sativa	ostreococcus_tauri	porphyra_umbilicalis	selaginella_moellendorffii	solanum_lycopersicum
arabidopsis_thaliana	0.0	3.0	0.0	0.0	1.0	0.0	6.0	0.0	0.0	1.0	7.0
ceratopteris_richardii	4.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	3.0
chlamydomonas_reinhardtii	7.0	7.0	0.0	1.0	2.0	1.0	6.0	0.0	0.0	5.0	5.0
klebsormidium_nitens	7.0	6.0	0.0	0.0	1.0	1.0	6.0	0.0	0.0	3.0	5.0
marchantia_polymorpha	8.0	6.0	0.0	1.0	0.0	1.0	8.0	0.0	1.0	4.0	7.0
mesotaenium_endlicherianum	8.0	6.0	1.0	1.0	2.0	0.0	8.0	0.0	0.0	3.0	6.0
oryza_sativa	5.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0
ostreococcus_tauri	5.0	6.0	1.0	1.0	2.0	2.0	5.0	0.0	0.0	5.0	3.0
porphyra_umbilicalis	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	0.0	2.0	1.0
selaginella_moellendorffii	8.0	11.0	0.0	0.0	2.0	1.0	7.0	0.0	2.0	0.0	7.0
solanum_lycopersicum	3.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
