	arabidopsis_thaliana	ceratopteris_richardii	chlamydomonas_reinhardtii	klebsormidium_nitens	marchantia_polymorpha	mesotaenium_endlicherianum	oryza_sativa	ostreococcus_tauri	porphyra_umbilicalis	selaginella_moellendorffii	solanum_lycopersicum
Number of genes	93	59	15	19	21	19	106	11	10	38	128
Number of genes in orthogroups	88	58	13	19	21	18	91	11	9	38	111
Number of unassigned genes	5	1	2	0	0	1	15	0	1	0	17
Percentage of genes in orthogroups	94.6	98.3	86.7	100.0	100.0	94.7	85.8	100.0	90.0	100.0	86.7
Percentage of unassigned genes	5.4	1.7	13.3	0.0	0.0	5.3	14.2	0.0	10.0	0.0	13.3
Number of orthogroups containing species	18	12	8	8	11	9	20	6	3	13	23
Percentage of orthogroups containing species	50.0	33.3	22.2	22.2	30.6	25.0	55.6	16.7	8.3	36.1	63.9
Number of species-specific orthogroups	2	1	0	1	0	0	5	1	0	1	6
Number of genes in species-specific orthogroups	7	2	0	4	0	0	12	2	0	2	18
Percentage of genes in species-specific orthogroups	7.5	3.4	0.0	21.1	0.0	0.0	11.3	18.2	0.0	5.3	14.1


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	18	24	28	28	25	27	16	30	33	23	13
'1	3	0	3	4	6	5	4	2	1	5	4
'2	4	4	5	2	1	2	5	3	0	1	6
'3	2	2	0	0	3	0	3	1	0	1	2
'4	2	0	0	1	1	1	2	0	2	2	0
'5	2	2	0	0	0	1	1	0	0	4	4
'6	0	0	0	0	0	0	0	0	0	0	3
'7	1	0	0	1	0	0	0	0	0	0	1
'8	0	3	0	0	0	0	1	0	0	0	0
'9	0	0	0	0	0	0	0	0	0	0	1
'10	1	1	0	0	0	0	1	0	0	0	0
11-15	3	0	0	0	0	0	3	0	0	0	0
16-20	0	0	0	0	0	0	0	0	0	0	2
21-50	0	0	0	0	0	0	0	0	0	0	0
51-100	0	0	0	0	0	0	0	0	0	0	0
101-150	0	0	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0

